Plant.Type,pop.id,mf,rep,unique.ID,block,bed,row,col,UCD_Garden_2023,WL2_Garden_2023,WL2_Garden_2024,WL2_Garden_2025
F2,(TM2 x WL2) x (TM2 x BH),NA,6,1257,C1,C,6,B,NA,NA,NA,1
F2,(TM2 x WL2) x (TM2 x BH),NA,11,1262,D1,D,13,C,NA,NA,NA,1
F2,(TM2 x WL2) x (TM2 x BH),NA,7,1258,D2,D,44,D,NA,NA,NA,1
F2,(TM2 x WL2) x (TM2 x BH),NA,5,1256,E1,E,4,C,NA,NA,NA,1
F2,(TM2 x WL2) x (TM2 x BH),NA,10,1261,E2,E,29,D,NA,NA,NA,1
F2,(TM2 x WL2) x (TM2 x BH),NA,9,1260,F2,F,32,A,NA,NA,NA,1
F1,WL1 x WL2,NA,19,849,A1,A,20,A,NA,NA,NA,1
F1,WL1 x WL2,NA,16,846,A2,A,28,A,NA,NA,NA,1
F1,WL1 x WL2,NA,7,837,A1,A,19,D,NA,NA,NA,1
F1,WL1 x WL2,NA,28,858,A2,A,40,C,NA,NA,NA,1
F1,WL1 x WL2,NA,20,850,B1,B,5,B,NA,NA,NA,1
F1,WL1 x WL2,NA,8,838,B1,B,7,A,NA,NA,NA,1
F1,WL1 x WL2,NA,9,839,B2,B,37,B,NA,NA,NA,1
F1,WL1 x WL2,NA,21,851,B2,B,40,D,NA,NA,NA,1
F1,WL1 x WL2,NA,11,841,C1,C,18,B,NA,NA,NA,1
F1,WL1 x WL2,NA,23,853,C1,C,8,C,NA,NA,NA,1
F1,WL1 x WL2,NA,29,859,C2,C,26,D,NA,NA,NA,1
F1,WL1 x WL2,NA,17,847,C2,C,28,D,NA,NA,NA,1
F1,WL1 x WL2,NA,27,857,D1,D,7,B,NA,NA,NA,1
F1,WL1 x WL2,NA,15,845,D1,D,16,A,NA,NA,NA,1
F1,WL1 x WL2,NA,12,842,D2,D,28,B,NA,NA,NA,1
F1,WL1 x WL2,NA,24,854,D2,D,37,D,NA,NA,NA,1
F1,WL1 x WL2,NA,22,852,E1,E,6,B,NA,NA,NA,1
F1,WL1 x WL2,NA,26,856,E2,E,25,B,NA,NA,NA,1
F1,WL1 x WL2,NA,14,844,E2,E,27,B,NA,NA,NA,1
F1,WL1 x WL2,NA,10,840,E1,E,7,D,NA,NA,NA,1
F1,WL1 x WL2,NA,30,860,F1,F,21,A,NA,NA,NA,1
F1,WL1 x WL2,NA,25,855,F2,F,36,A,NA,NA,NA,1
F1,WL1 x WL2,NA,18,848,F1,F,13,D,NA,NA,NA,1
F1,WL1 x WL2,NA,13,843,F2,F,26,D,NA,NA,NA,1
F1,WL2 x CC,NA,11,820,A2,A,25,A,NA,NA,NA,1
F1,WL2 x CC,NA,18,827,C2,C,40,D,NA,NA,NA,1
F1,WL2 x CC,NA,5,814,D1,D,15,D,NA,NA,NA,1
F1,WL2 x CC,NA,3,812,E2,E,28,A,NA,NA,NA,1
F1,WL2 x CC,NA,20,829,F1,F,22,C,NA,NA,NA,1
F1,WL2 x DPR,NA,4,864,A1,A,10,B,NA,NA,NA,1
F1,WL2 x DPR,NA,8,868,B2,B,25,B,NA,NA,NA,1
F1,WL2 x DPR,NA,6,866,B1,B,10,D,NA,NA,NA,1
F1,WL2 x DPR,NA,23,883,C1,C,7,C,NA,NA,NA,1
F1,WL2 x DPR,NA,30,890,D1,D,12,D,NA,NA,NA,1
F1,WL2 x DPR,NA,26,886,D2,D,33,D,NA,NA,NA,1
F1,WL2 x DPR,NA,28,888,E2,E,36,B,NA,NA,NA,1
F1,WL2 x DPR,NA,19,879,E1,E,22,C,NA,NA,NA,1
F1,WL2 x DPR,NA,27,887,F2,F,27,B,NA,NA,NA,1
F1,WL2 x LV1,NA,9,899,A2,A,43,B,NA,NA,NA,1
F1,WL2 x WL1,NA,6,915,A1,A,21,B,NA,NA,NA,1
F1,WL2 x WL1,NA,12,921,B1,B,12,B,NA,NA,NA,1
F1,WL2 x WL1,NA,3,912,C2,C,39,B,NA,NA,NA,1
F1,WL2 x WL1,NA,19,928,C1,C,19,D,NA,NA,NA,1
F1,WL2 x WL1,NA,23,932,D2,D,36,A,NA,NA,NA,1
F1,WL2 x WL1,NA,14,923,E1,E,6,D,NA,NA,NA,1
F1,WL2 x WL1,NA,29,938,F2,F,31,A,NA,NA,NA,1
F1,WL2 x WL1,NA,5,914,F1,F,12,C,NA,NA,NA,1
F1,WL2 x WV,NA,13,952,A1,A,9,D,NA,NA,NA,1
F1,WL2 x WV,NA,10,949,A2,A,31,D,NA,NA,NA,1
F1,WL2 x WV,NA,16,955,B2,B,29,B,NA,NA,NA,1
F1,WL2 x WV,NA,14,953,B1,B,14,D,NA,NA,NA,1
F1,WL2 x WV,NA,11,950,C2,C,24,B,NA,NA,NA,1
F1,WL2 x WV,NA,9,948,D1,D,2,B,NA,NA,NA,1
F1,WL2 x WV,NA,8,947,E2,E,24,A,NA,NA,NA,1
F1,WL2 x WV,NA,12,951,F1,F,23,C,NA,NA,NA,1
F1,WL2 x YO11,NA,25,980,A2,A,29,C,NA,NA,NA,1
F1,WL2 x YO11,NA,29,984,C2,C,36,A,NA,NA,NA,1
F1,WL2 x YO11,NA,10,965,C1,C,22,D,NA,NA,NA,1
F1,WL2 x YO11,NA,23,978,D1,D,23,A,NA,NA,NA,1
F1,WL2 x YO11,NA,13,968,D2,D,28,D,NA,NA,NA,1
F1,WL2 x YO11,NA,20,975,E2,E,30,A,NA,NA,NA,1
F1,WL2 x YO11,NA,5,960,E1,E,19,C,NA,NA,NA,1
F1,WL2 x YO11,NA,14,969,F2,F,40,D,NA,NA,NA,1
